State  (L1 Districts of Nepal),Post Codes,City (L2 Muncipalities of Nepal),Address (L3 Area/Landmark),Delivery service,Routing Hub2,COD,Service Level Ex KTM,Service Remarks,Addtional Cost Ex KTM per KG
Jumla,21201,Chandannath,Micha,YES,Surkhet ,,4 to 7,Dispatch every monday and wednesday,
Jumla,21201,Chandannath,Gaurigaau,YES,Surkhet ,,4 to 7,Dispatch every monday and wednesday,
Jumla,21201,Chandannath,Karnali Technical College,YES,Surkhet ,,4 to 7,Dispatch every monday and wednesday,
Jumla,21201,Chandannath,Campas Chowk,YES,Surkhet ,,4 to 7,Dispatch every monday and wednesday,
Jumla,21201,Chandannath,Kalyekholi,YES,Surkhet ,,4 to 7,Dispatch every monday and wednesday,
Jumla,21201,Chandannath,Jwarapool,YES,Surkhet ,,4 to 7,Dispatch every monday and wednesday,
Kailali,10900,Dhangadhi,Adalat Road,,,,,,
Kailali,10900,Dhangadhi,Airpot,,,,,,
Kailali,10900,Dhangadhi,Baiya Behandi,YES,Dhangadi,Yes,,,
Kailali,10900,Dhangadhi,Bhagat Chowk,,,,,,
Kailali,10900,Dhangadhi,Bhim Basti,,,,,,
Kailali,10900,Dhangadhi,Bishalnagar,,,,,,
Kailali,10900,Dhangadhi,Boradandi,,,,,,
Kailali,10900,Dhangadhi,Buddha Chowk,,,,,,
Kailali,10900,Dhangadhi,Buspark Area,,,,,,
Kailali,10900,Dhangadhi,Campus Road,,,,,,
Kailali,10900,Dhangadhi,Campus Road Area,YES,Dhangadi,Yes,,,
Kailali,10900,Dhangadhi,Cg Chowk,,,,,,
Kailali,10900,Dhangadhi,Chakmeli,,,,,,
Kailali,10900,Dhangadhi,Chatakpur,,,,,,
Kailali,10900,Dhangadhi,Chauraha,YES,Dhangadi,Yes,,,
Kailali,10900,Dhangadhi,Dahal Chowk,,,,,,
Kailali,10900,Dhangadhi,Dhangadhi Fm,,,,,,
Kailali,10900,Dhangadhi,Doke Bazzar,,,,,,
Kailali,10900,Dhangadhi,Fun Park Road,,,,,,
Kailali,10900,Dhangadhi,Hasanpur,,,,,,
Kailali,10900,Dhangadhi,Hasanpur Area,YES,Dhangadi,Yes,,,
Kailali,10900,Dhangadhi,Hospital Line,,,,,,
Kailali,10900,Dhangadhi,Jai Area,YES,Dhangadi,Yes,,,
Kailali,10900,Dhangadhi,Jokar Tal,,,,,,
Kailali,10900,Dhangadhi,Kailali District Court Area,YES,Dhangadi,Yes,,,
Kailali,10900,Dhangadhi,Kailali Pool,,,,,,
Kailali,10900,Dhangadhi,Kalika Mandir,,,,,,
Kailali,10900,Dhangadhi,Khaptad Chowk,,,,,,
Kailali,10900,Dhangadhi,L N Chowk,,,,,,
Kailali,10900,Dhangadhi,Lovely Chowk,,,,,,
Kailali,10900,Dhangadhi,Manahara,,,,,,
Kailali,10900,Dhangadhi,Moti Chowk,,,,,,
Kailali,10900,Dhangadhi,New Yatayat,,,,,,
Kailali,10900,Dhangadhi,Om Shanti Tole,YES,Dhangadi,Yes,,,
Kailali,10900,Dhangadhi,Pasupati Tole,,,,,,
Kailali,10900,Dhangadhi,Phapla Cricket Ground,,,,,,
Kailali,10900,Dhangadhi,Pipal Chautara,,,,,,
Kailali,10900,Dhangadhi,Purano Bhansar,,,,,,
Kailali,10900,Dhangadhi,Puspalal Chowk,,,,,,
Kailali,10900,Dhangadhi,Rastra Bank Area,,,,,,
Kailali,10900,Dhangadhi,Rato Pool,,,,,,
Kailali,10900,Dhangadhi,Rubus Hotel,,,,,,
Kailali,10900,Dhangadhi,Sahid Gate,,,,,,
Kailali,10900,Dhangadhi,Santoshi Tole,,,,,,
Kailali,10900,Dhangadhi,Santoshi Tole Area,YES,Dhangadi,Yes,,,
Kailali,10900,Dhangadhi,Satkar Chowk,,,,,,
Kailali,10900,Dhangadhi,Satkar Chowk Area,YES,Dhangadi,Yes,,,
Kailali,10900,Dhangadhi,Seto Pool,,,,,,
Kailali,10900,Dhangadhi,Shivapuri Dham,,,,,,
Kailali,10900,Dhangadhi,Shivnagar,,,,,,
Kailali,10900,Dhangadhi,Taranagar,,,,,,
Kailali,10900,Dhangadhi,Tinkune Chowk,,,,,,
Kailali,10900,Dhangadhi,Trabeni Chowk,,,,,,
Kailali,10900,Dhangadhi,Utter Behadi,,,,,,
Kailali,10900,Dhangadhi,Ward No 3 Near Neb,,,,,,
Kailali,10901,Tikapur,Bijayanagar,YES,Dhangadi,Yes,,,
Kailali,10901,Tikapur,Khursi,,,,,,
Kailali,10901,Tikapur,Manikapur,,,,,,
Kailali,10901,Tikapur,Manikapur,,,,,,
Kailali,10901,Tikapur,Munuwa,YES,Dhangadi,Yes,,,
Kailali,10901,Tikapur,Munuwa,,,,,,
Kailali,10901,Tikapur,Narayanpur,,,,,,
Kailali,10901,Tikapur,Narayanpur Chauraha,YES,Dhangadi,Yes,,,
Kailali,10901,Tikapur,Satti Bazaar,YES,Dhangadi,Yes,,,
Kailali,10901,Tikapur,Tikapur Airport Area,YES,Dhangadi,Yes,,,
Kailali,10901,Tikapur,Tikapur Campus Area,YES,Dhangadi,Yes,,,
Kailali,10901,Tikapur,Tikapur Park,,,,,,
Kailali,10901,Tikapur,Tikapur Poly Technical Area,YES,Dhangadi,Yes,,,
Kailali,10902,Janaki,,YES,Dhangadi,,,,
Kailali,10905,Lamkichuha,Bybasthit Nagar,YES,Dhangadi,Yes,,,
Kailali,10905,Lamkichuha,Chisapani Bazaar,YES,Dhangadi,Yes,,,
Kailali,10905,Lamkichuha,Dododhara Chowk,YES,Dhangadi,Yes,,,
Kailali,10905,Lamkichuha,Ganeshpur Chowk,YES,Dhangadi,Yes,,,
Kailali,10905,Lamkichuha,Gulara Bus Park Area,YES,Dhangadi,Yes,,,
Kailali,10905,Lamkichuha,Lamki Bazaar,YES,Dhangadi,Yes,,,
Kailali,10905,Lamkichuha,Lamki Zero Mile,YES,Dhangadi,Yes,,,
Kailali,10905,Lamkichuha,Motipur,YES,Dhangadi,Yes,,,
Kailali,10905,Lamkichuha,Syaule Bazar,YES,Dhangadi,Yes,,,
Kailali,10905,Lamkichuha,Thapapur,YES,Dhangadi,Yes,,,
Kailali,10907,Gauriganga,Aambari Galli Area,YES,Dhangadi,Yes,,,
Kailali,10907,Gauriganga,Banbehada Bazaar,YES,Dhangadi,Yes,,,
Kailali,10907,Gauriganga,Chaumala Bazaar,YES,Dhangadi,Yes,,,
Kailali,10907,Gauriganga,Kuchaini,YES,Dhangadi,Yes,,,
Kailali,10907,Gauriganga,Mangalpur Bazaar,YES,Dhangadi,Yes,,,
Kailali,10908,Bhajani,Barseni,YES,Dhangadi,Yes,,,
Kailali,10908,Bhajani,Bhajani Trishakti,YES,Dhangadi,Yes,,,
Kailali,10908,Bhajani,Joshipur,YES,Dhangadi,Yes,,,
Kailali,10908,Bhajani,Kada,YES,Dhangadi,Yes,,,
Kailali,10908,Bhajani,Khakraula,YES,Dhangadi,Yes,,,
Kailali,10908,Bhajani,Pathraiyapul,YES,Dhangadi,Yes,,,
Kailali,10908,Bhajani,Thapapur - Mahadeuli,YES,Dhangadi,Yes,,,
Kailali,10909,Ghodaghodi,Ghoda Ghodi Multiple College Area,YES,Dhangadi,Yes,,,
Kailali,10909,Ghodaghodi,Jaya Nagar,YES,Dhangadi,Yes,,,
Kailali,10909,Ghodaghodi,Pahalmanpur Bazaar,YES,Dhangadi,Yes,,,
Kailali,10909,Ghodaghodi,Sukhad Bazaar,YES,Dhangadi,Yes,,,
Kailali,10911,Godawari Kailali,5 Number Baahini,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Attariya Chowk,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Attariya Chowk,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Attariya Film Hall,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Barpipal Galli,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Chaudhary Galli,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Chauki Danda,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Dahal School,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Dixit Nagar,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Geta,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Geta Eyes Hospital,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Godawari Pool,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Gulariya Chauraha,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Krishna Mandir Tole,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Lalpur,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Lalpur Football Ground Area,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Mahendranagar Road Attariya,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Malakheti,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Nepal Telecom,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Pahad Road,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Pani Tanki,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Ring Road,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Shreepur,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Syaule,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Syaule Bazar,YES,Dhangadi,Yes,2,,
Kailali,10911,Godawari Kailali,Teghari Barrack,YES,Dhangadi,Yes,2,,
Kalikot,21301,Khandachakra,Pratima-Chowk,YES,Kathmandu,Yes,,Third Party,300
Kalikot,21301,Khandachakra,Hospital,YES,Kathmandu,Yes,,Third Party,300
Kalikot,21301,Khandachakra,Zero Point,YES,Kathmandu,Yes,,Third Party,300
Kalikot,21301,Khandachakra,Tadi,YES,Kathmandu,Yes,,Third Party,300
Kalikot,21301,Khandachakra,Buspark,YES,Kathmandu,Yes,,Third Party,300
Kalikot,21301,Khandachakra,Nawagaira,YES,Kathmandu,Yes,,Third Party,300
Kalikot,21301,Khandachakra,Lovepark,YES,Kathmandu,Yes,,Third Party,300
Kalikot,21301,Khandachakra,Ranidunga,YES,Kathmandu,Yes,,Third Party,300
Kanchanpur,10400,Bhimdatta,Aithpur,,,,,,
Kanchanpur,10400,Bhimdatta,Bagphata,,,,,,
Kanchanpur,10400,Bhimdatta,Bangaun,,,,,,
Kanchanpur,10400,Bhimdatta,Bankhet,,,,,,
Kanchanpur,10400,Bhimdatta,Bedkot Nagarpalika,,,,,,
Kanchanpur,10400,Bhimdatta,Bhagatpur,YES,Mahendranagar,Yes,,,
Kanchanpur,10400,Bhimdatta,Bhagatpur Barik,,,,,,
Kanchanpur,10400,Bhimdatta,Bhasi,YES,Mahendranagar,Yes,,,
Kanchanpur,10400,Bhimdatta,Bhasi,,,,,,
Kanchanpur,10400,Bhimdatta,Bholeshankar Chok,,,,,,
Kanchanpur,10400,Bhimdatta,Bhujela Pul,,,,,,
Kanchanpur,10400,Bhimdatta,Bijpuri,,,,,,
Kanchanpur,10400,Bhimdatta,Birdha Ashram,,,,,,
Kanchanpur,10400,Bhimdatta,Bishnumandir,,,,,,
Kanchanpur,10400,Bhimdatta,Brakunda,,,,,,
Kanchanpur,10400,Bhimdatta,Buspart,,,,,,
Kanchanpur,10400,Bhimdatta,Campus Road,,,,,,
Kanchanpur,10400,Bhimdatta,Fu,,,,,,
Kanchanpur,10400,Bhimdatta,Gadda Chauki,YES,Mahendranagar,Yes,,,
Kanchanpur,10400,Bhimdatta,Gaddachauki,,,,,,
Kanchanpur,10400,Bhimdatta,Gobariya,YES,Mahendranagar,Yes,,,
Kanchanpur,10400,Bhimdatta,Gobiriya,,,,,,
Kanchanpur,10400,Bhimdatta,Gulm Barik,,,,,,
Kanchanpur,10400,Bhimdatta,Haldukhal,,,,,,
Kanchanpur,10400,Bhimdatta,Janaki Tol,,,,,,
Kanchanpur,10400,Bhimdatta,Karagar,,,,,,
Kanchanpur,10400,Bhimdatta,Khairani,,,,,,
Kanchanpur,10400,Bhimdatta,Lalpur,,,,,,
Kanchanpur,10400,Bhimdatta,Mahendranagar Bajar,,,,,,
Kanchanpur,10400,Bhimdatta,Mahendranagar Bazar,YES,Mahendranagar,Yes,,,
Kanchanpur,10400,Bhimdatta,Mahendranagar Bazar,YES,Mahendranagar,Yes,,,
Kanchanpur,10400,Bhimdatta,Maholiya,,,,,,
Kanchanpur,10400,Bhimdatta,Majhgaun Airport,,,,,,
Kanchanpur,10400,Bhimdatta,Mamabhanja Chock,,,,,,
Kanchanpur,10400,Bhimdatta,Milan Chock,,,,,,
Kanchanpur,10400,Bhimdatta,Mnr Park,,,,,,
Kanchanpur,10400,Bhimdatta,Naulakhet,,,,,,
Kanchanpur,10400,Bhimdatta,Nayagaun,,,,,,
Kanchanpur,10400,Bhimdatta,New Prahari Beat,,,,,,
Kanchanpur,10400,Bhimdatta,Puspalal Chok,,,,,,
Kanchanpur,10400,Bhimdatta,Sama Daiji,,,,,,
Kanchanpur,10400,Bhimdatta,Santiniketan,,,,,,
Kanchanpur,10400,Bhimdatta,Shiv Mandir,,,,,,
Kanchanpur,10400,Bhimdatta,Sisiya,,,,,,
Kanchanpur,10400,Bhimdatta,Suda,YES,Mahendranagar,Yes,,,
Kanchanpur,10400,Bhimdatta,Suda,,,,,,
Kanchanpur,10400,Bhimdatta,Sukalaphata National Park Area,,,,,,
Kanchanpur,10400,Bhimdatta,Sukasal,,,,,,
Kanchanpur,10400,Bhimdatta,Sundurpur,,,,,,
Kanchanpur,10400,Bhimdatta,Tilachaur,,,,,,
Kanchanpur,10400,Bhimdatta,Tilakpur,,,,,,
Kanchanpur,10400,Bhimdatta,Ultakham,,,,,,
Kanchanpur,10400,Bhimdatta,Veatghat Chautari,,,,,,
Kanchanpur,10406,Mahakali,,YES,Mahendranagar,,,,
Kanchanpur,10407,Bedkot,,YES,Mahendranagar,,,,
Kapilvastu,32800,Kapilbastu,Barji,,,,,,
Kapilvastu,32800,Kapilbastu,Bethari,YES,Butwal,Yes,,,
Kapilvastu,32800,Kapilbastu,Gundi,,,,,,
Kapilvastu,32800,Kapilbastu,Jahadi,,,,,,
Kapilvastu,32800,Kapilbastu,Jamohara Area,YES,Butwal,Yes,,,
Kapilvastu,32800,Kapilbastu,Jhulnipur,,,,,,
Kapilvastu,32800,Kapilbastu,Kapilvastu Multiple Campus,YES,Butwal,Yes,,,
Kapilvastu,32800,Kapilbastu,Kapilvastu Museum,YES,Butwal,Yes,,,
Kapilvastu,32800,Kapilbastu,Khuda Bagar,,,,,,
Kapilvastu,32800,Kapilbastu,Lokhadiya,,,,,,
Kapilvastu,32800,Kapilbastu,Mahilawar,,,,,,
Kapilvastu,32800,Kapilbastu,Majiriya,,,,,,
Kapilvastu,32800,Kapilbastu,Muglana,,,,,,
Kapilvastu,32800,Kapilbastu,Paderiya,,,,,,
Kapilvastu,32800,Kapilbastu,Pakhadi Chowk,,,,,,
Kapilvastu,32800,Kapilbastu,Parsa,,,,,,
Kapilvastu,32800,Kapilbastu,Sundi,,,,,,
Kapilvastu,32800,Kapilbastu,Taulihawa Bazzar,,,,,,
Kapilvastu,32800,Kapilbastu,Taulihawa Bus Station,YES,Butwal,Yes,,,
Kapilvastu,32800,Kapilbastu,Taulihawa Haat Bazaar,YES,Butwal,Yes,,,
Kapilvastu,32800,Kapilbastu,Tilaurakot,YES,Butwal,Yes,,,
Kapilvastu,32800,Kapilbastu,Yakla,,,,,,
Kapilvastu,32805,Shivaraj,Chanauta Bus Stop Area,YES,Butwal,Yes,,,
Kapilvastu,32805,Shivaraj,Halla Nagar,YES,Butwal,Yes,,,
Kapilvastu,32805,Shivaraj,Jawabhari,YES,Butwal,Yes,,,
Kapilvastu,32805,Shivaraj,Kharendrapur,YES,Butwal,Yes,,,
Kapilvastu,32805,Shivaraj,Laxmi Tole,YES,Butwal,Yes,,,
Kapilvastu,32805,Shivaraj,Samiti Chowk,YES,Butwal,Yes,,,
Kapilvastu,32805,Shivaraj,Shivapur Haat Bazaar,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,4 Number Chowk,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Bairaya,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Bangain,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Basgadi,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Bodegaun Chowk,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Bodgaun,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Chappar Gau,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Chapper Gaun,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Dhaneshpur,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Farline,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Gajedi,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Gajehada Bus Stop Area,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Gorusinge Bazzar,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Jeetpur,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Jhanda,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Khane Pani Office Area,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Koili Bangai,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Laxmanghat,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Manoharpur,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Motipur - Banganga,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Odhari,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Pipara,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Pipara Bazaar,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Saljhandi,YES,Butwal,Yes,,,
Kapilvastu,32806,Banganga,Supa Deurali Mandir - Banganga,YES,Butwal,Yes,,,
Kapilvastu,32815,Krishnanagar,,YES,,Yes,,,
Kaski,33700,Pokhara,0Km,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Aadaeshachowk,,,,,,
Kaski,33700,Pokhara,Aarghauchowk,,,,,,
Kaski,33700,Pokhara,Amarsingh Chowk ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Archalbot ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Bagaletole ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Bagar,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Bagar,,,,,,
Kaski,33700,Pokhara,Bagicha ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Bagmara,,,,,,
Kaski,33700,Pokhara,Baidam ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Bangladi ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Barpatan ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Batulechaur,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Batuleychaur,,,,,,
Kaski,33700,Pokhara,Begnastal Buspark,,,,,,
Kaski,33700,Pokhara,Bhairab,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Bhandadik,,,,,,
Kaski,33700,Pokhara,Bhimsentole,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Bijayapur,,,,,,
Kaski,33700,Pokhara,Bindabaseni,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Bindabasini,,,,,,
Kaski,33700,Pokhara,Birauta,,,,,,
Kaski,33700,Pokhara,Birauta ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Botechautara,,,,,,
Kaski,33700,Pokhara,Buddha Chowk ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Buddhibazar,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Budibazar,,,,,,
Kaski,33700,Pokhara,Buspark ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Chauthe Area,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Chhorepatan,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Chinedada,,,,,,
Kaski,33700,Pokhara,Chorepatan,,,,,,
Kaski,33700,Pokhara,Chorepatan,,,,,,
Kaski,33700,Pokhara,Dadanak,,,,,,
Kaski,33700,Pokhara,Damside,,,,,,
Kaski,33700,Pokhara,Deep,,,,,,
Kaski,33700,Pokhara,Dhikopatan,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Digopatan,,,,,,
Kaski,33700,Pokhara,Fulbari,,,,,,
Kaski,33700,Pokhara,Gairapatan,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Gairepatan,,,,,,
Kaski,33700,Pokhara,Galeshwor,,,,,,
Kaski,33700,Pokhara,Gandaki Hospital Area,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Ganeshtole ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Ghale Chowk ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Gharepatan ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Gharipatan,,,,,,
Kaski,33700,Pokhara,Goalchautara,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Halanchowk,,,,,,
Kaski,33700,Pokhara,Hallanchowk ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Harichowk,,,,,,
Kaski,33700,Pokhara,Harichowk ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Hemja,YES,Pokhara,Yes,,twice weekly,
Kaski,33700,Pokhara,Jarebar,,,,,,
Kaski,33700,Pokhara,Jarebar ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Kajipokhari ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Kalikacampus,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Kalikachowk,,,,,,
Kaski,33700,Pokhara,Kaseri,,,,,,
Kaski,33700,Pokhara,Kaukhola,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Kaukhola,,,,,,
Kaski,33700,Pokhara,Khahare,,,,,,
Kaski,33700,Pokhara,Khahare ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Khapaudi,,,,,,
Kaski,33700,Pokhara,Kharanephat,,,,,,
Kaski,33700,Pokhara,Lakeside ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Lamachaur,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Lamachaur,,,,,,
Kaski,33700,Pokhara,Lamachaur,,,,,,
Kaski,33700,Pokhara,Lamehall,,,,,,
Kaski,33700,Pokhara,Lekhnath Powerhouse,,,,,,
Kaski,33700,Pokhara,Maasbar,,,,,,
Kaski,33700,Pokhara,Mahendra Gufa,,,,,,
Kaski,33700,Pokhara,Mahendrapool,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Mahendrapul,,,,,,
Kaski,33700,Pokhara,Majjuwa,,,,,,
Kaski,33700,Pokhara,Malepatan,,,,,,
Kaski,33700,Pokhara,Malpot,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Manipal,,,,,,
Kaski,33700,Pokhara,Masbar ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Matepani Area,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Matgau,,,,,,
Kaski,33700,Pokhara,Matgauda,,,,,,
Kaski,33700,Pokhara,Mathilo Gagangauda,,,,,,
Kaski,33700,Pokhara,Milanchowk,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Miyapatan,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Moriyachowk,,,,,,
Kaski,33700,Pokhara,Muralichowk,,,,,,
Kaski,33700,Pokhara,Musium,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Mustang Chowk,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Musume,,,,,,
Kaski,33700,Pokhara,Nadipur,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Nadipur,,,,,,
Kaski,33700,Pokhara,Nadipur,,,,,,
Kaski,33700,Pokhara,Nagdhunga,,,,,,
Kaski,33700,Pokhara,Naharchowk,,,,,,
Kaski,33700,Pokhara,Nareshor,,,,,,
Kaski,33700,Pokhara,Nayaairpot,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Nayabazar ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Parsyang,,,,,,
Kaski,33700,Pokhara,Patneri,,,,,,
Kaski,33700,Pokhara,Prashyang,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Prithivi Chowk Archalbot,,,,,,
Kaski,33700,Pokhara,Pulbari ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Puranodhara,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Rajchautara,,,,,,
Kaski,33700,Pokhara,Rambazar,,,,,,
Kaski,33700,Pokhara,Rambazar ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Ramghat Area,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Ranipawa ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Ranipuauwa,,,,,,
Kaski,33700,Pokhara,Ratna Chowk Area,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Ratodanda,,,,,,
Kaski,33700,Pokhara,Rethipai,,,,,,
Kaski,33700,Pokhara,Sainik Basti/ Pu Chowk,,,,,,
Kaski,33700,Pokhara,Sakneri,,,,,,
Kaski,33700,Pokhara,Satmuhaney,,,,,,
Kaski,33700,Pokhara,Sedi,,,,,,
Kaski,33700,Pokhara,Shantiban,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Shantinagar,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Shreejana,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Simalchaur ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Simpani,,,,,,
Kaski,33700,Pokhara,Simpani ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Sisuwa,,,,,,
Kaski,33700,Pokhara,Sitaldevi ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Sundaribazar,,,,,,
Kaski,33700,Pokhara,Taalchowk,,,,,,
Kaski,33700,Pokhara,Talchowk,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Tersapati ,YES,Pokhara,Yes,,,
Kaski,33700,Pokhara,Tusli Ghat,,,,,,
Kaski,33700,Pokhara,Uttam Chowk ,YES,Pokhara,Yes,,,
Kathmandu,44600,Kathmandu,Airport,,,,,,
Kathmandu,44600,Kathmandu,Aloknagar,,,,,,
Kathmandu,44600,Kathmandu,Anamnagar,YES,Kathmandu,Yes,,,
Kathmandu,44600,Kathmandu,Ason,,,,,,
Kathmandu,44600,Kathmandu,Babarmahal,,,,,,
Kathmandu,44600,Kathmandu,Bafal,,,,,,
Kathmandu,44600,Kathmandu,Baghbazar,,,,,,
Kathmandu,44600,Kathmandu,Bahiti,,,,,,
Kathmandu,44600,Kathmandu,Balaju Bypass,,,,,,
Kathmandu,44600,Kathmandu,Balaju Chauki,,,,,,
Kathmandu,44600,Kathmandu,balaju Chowk,,,,,,
Kathmandu,44600,Kathmandu,Balkhu,,,,,,
Kathmandu,44600,Kathmandu,balwatar,,,,,,
Kathmandu,44600,Kathmandu,Banasthali,,,,,,
Kathmandu,44600,Kathmandu,Basantapur,,,,,,
Kathmandu,44600,Kathmandu,Battisputali,,,,,,
